Bug ID,Product,Component,Severity,Priority,Resolution,Summary,text
90975,Platform,Debug,major,P2,FIXED,Consoles removed when using multiple windows,"Product: Platform
Component: Debug
Severity: major
Priority: P2
Summary: Consoles removed when using multiple windows
Resolution: FIXED"
434298,PDE,API Tools,normal,P3,FIXED,Javadoc tags to annotations wizard does not report progress,"Product: PDE
Component: API Tools
Severity: normal
Priority: P3
Summary: Javadoc tags to annotations wizard does not report progress
Resolution: FIXED"
139838,Platform,Debug,normal,P3,FIXED,[Memory View] Widget disposed exception in table viewers,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: [Memory View] Widget disposed exception in table viewers
Resolution: FIXED"
329751,Platform,UI,minor,P3,FIXED,Duplicate mnemonic 'D' on 'Appearance' preference page,"Product: Platform
Component: UI
Severity: minor
Priority: P3
Summary: Duplicate mnemonic 'D' on 'Appearance' preference page
Resolution: FIXED"
6834,JDT,Debug,critical,P1,FIXED,ClassCastExeption running Eclipse on Linux,"Product: JDT
Component: Debug
Severity: critical
Priority: P1
Summary: ClassCastExeption running Eclipse on Linux
Resolution: FIXED"
77181,JDT,Text,major,P2,FIXED,[projection] Line numbers not updated during search in Java editor,"Product: JDT
Component: Text
Severity: major
Priority: P2
Summary: [projection] Line numbers not updated during search in Java editor
Resolution: FIXED"
98976,JDT,UI,normal,P3,WORKSFORME,Examples plug-in fails to load.,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: Examples plug-in fails to load.
Resolution: WORKSFORME"
461059,Platform,User Assistance,normal,P3,FIXED,Prevent dirt in workspace,"Product: Platform
Component: User Assistance
Severity: normal
Priority: P3
Summary: Prevent dirt in workspace
Resolution: FIXED"
435488,Platform,UI,blocker,P3,FIXED,java.lang.NoSuchMethodError: org.eclipse.e4.ui.css.swt.helpers.EclipsePreferencesHelper.getOverriddenPropertyNames(Lorg/eclipse/core/runtime/preferences/IEclipsePreferences;)Ljava/util/List;,"Product: Platform
Component: UI
Severity: blocker
Priority: P3
Summary: java.lang.NoSuchMethodError: org.eclipse.e4.ui.css.swt.helpers.EclipsePreferencesHelper.getOverriddenPropertyNames(Lorg/eclipse/core/runtime/preferences/IEclipsePreferences;)Ljava/util/List;
Resolution: FIXED"
171049,JDT,UI,enhancement,P2,FIXED,[build path] use the new 'deprecated' and 'read-only' classpath variables,"Product: JDT
Component: UI
Severity: enhancement
Priority: P2
Summary: [build path] use the new 'deprecated' and 'read-only' classpath variables
Resolution: FIXED"
187290,JDT,UI,trivial,P3,FIXED,[package explorer] [working sets] 'New...' button missing mnemonic on assign WS dialog,"Product: JDT
Component: UI
Severity: trivial
Priority: P3
Summary: [package explorer] [working sets] 'New...' button missing mnemonic on assign WS dialog
Resolution: FIXED"
15850,Platform,Debug,normal,P1,FIXED,LaunchView changes required from platform ui changes,"Product: Platform
Component: Debug
Severity: normal
Priority: P1
Summary: LaunchView changes required from platform ui changes
Resolution: FIXED"
73549,Platform,UI,enhancement,P2,FIXED,[Encoding] Add a unicode entry to the list,"Product: Platform
Component: UI
Severity: enhancement
Priority: P2
Summary: [Encoding] Add a unicode entry to the list
Resolution: FIXED"
271785,JDT,Debug,normal,P3,FIXED,Migrate compilation error/uncaught exception handling to breakpoint listener extension,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: Migrate compilation error/uncaught exception handling to breakpoint listener extension
Resolution: FIXED"
155834,JDT,UI,minor,P3,FIXED,[build path] Linking source to project should always be available,"Product: JDT
Component: UI
Severity: minor
Priority: P3
Summary: [build path] Linking source to project should always be available
Resolution: FIXED"
31244,JDT,UI,critical,P1,FIXED,Renaming linked source folder copies content,"Product: JDT
Component: UI
Severity: critical
Priority: P1
Summary: Renaming linked source folder copies content
Resolution: FIXED"
19768,JDT,UI,normal,P3,FIXED,Wrong key in plugin.xml,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: Wrong key in plugin.xml
Resolution: FIXED"
94738,JDT,Text,normal,P2,FIXED,[misc] Occurrences marking not always updated on typing,"Product: JDT
Component: Text
Severity: normal
Priority: P2
Summary: [misc] Occurrences marking not always updated on typing
Resolution: FIXED"
15197,JDT,Debug,normal,P3,FIXED,Prompt when > 1 config for selected type,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: Prompt when > 1 config for selected type
Resolution: FIXED"
6668,JDT,UI,normal,P1,FIXED,'Replace from History' doesn't use source range from working copy,"Product: JDT
Component: UI
Severity: normal
Priority: P1
Summary: 'Replace from History' doesn't use source range from working copy
Resolution: FIXED"
226496,JDT,UI,normal,P3,FIXED,[Package Exlorer] Filter 'empty packages' does not show packages with non-Java files,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: [Package Exlorer] Filter 'empty packages' does not show packages with non-Java files
Resolution: FIXED"
28069,JDT,Core,blocker,P2,FIXED,JDTCompilerAdapter and compiler.batch.Main out of sync in I20021210 build,"Product: JDT
Component: Core
Severity: blocker
Priority: P2
Summary: JDTCompilerAdapter and compiler.batch.Main out of sync in I20021210 build
Resolution: FIXED"
24383,Platform,Ant,normal,P2,FIXED,Update the printUsage of InternalAntRunner,"Product: Platform
Component: Ant
Severity: normal
Priority: P2
Summary: Update the printUsage of InternalAntRunner
Resolution: FIXED"
19644,PDE,UI,normal,P2,FIXED,NullMenuManager NullToolBarManager return null for getOverrides,"Product: PDE
Component: UI
Severity: normal
Priority: P2
Summary: NullMenuManager NullToolBarManager return null for getOverrides
Resolution: FIXED"
119599,Platform,UI,critical,P2,FIXED,[Dialogs] Every PopupDialiog is leaked if PopupDialolg.HOVER_SHELLSTYLE or SWT.ON_TOP is set,"Product: Platform
Component: UI
Severity: critical
Priority: P2
Summary: [Dialogs] Every PopupDialiog is leaked if PopupDialolg.HOVER_SHELLSTYLE or SWT.ON_TOP is set
Resolution: FIXED"
405800,Platform,UI,normal,P3,FIXED,The NPE when the editor with invalid resource gets active,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: The NPE when the editor with invalid resource gets active
Resolution: FIXED"
470535,JDT,Core,normal,P3,FIXED,Bug in UserLibrary.hashCode(),"Product: JDT
Component: Core
Severity: normal
Priority: P3
Summary: Bug in UserLibrary.hashCode()
Resolution: FIXED"
369916,PDE,UI,normal,P3,FIXED,'Tracing' page content feels odd,"Product: PDE
Component: UI
Severity: normal
Priority: P3
Summary: 'Tracing' page content feels odd
Resolution: FIXED"
50203,JDT,Debug,normal,P2,FIXED,Exception in error log + blank rendered in sessions view,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: Exception in error log + blank rendered in sessions view
Resolution: FIXED"
297187,PDE,UI,trivial,P3,FIXED,UI polish for Delete Plug-in Projects dialog,"Product: PDE
Component: UI
Severity: trivial
Priority: P3
Summary: UI polish for Delete Plug-in Projects dialog
Resolution: FIXED"
61284,Platform,Ant,normal,P2,FIXED,Failing code completion tests for Ant,"Product: Platform
Component: Ant
Severity: normal
Priority: P2
Summary: Failing code completion tests for Ant
Resolution: FIXED"
40680,JDT,Debug,normal,P3,FIXED,Usability issues with Edit JRE dialog,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: Usability issues with Edit JRE dialog
Resolution: FIXED"
26800,JDT,Debug,normal,P2,FIXED,No javadoc generated in org.eclipse.jdt.doc.isv,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: No javadoc generated in org.eclipse.jdt.doc.isv
Resolution: FIXED"
32823,JDT,Debug,normal,P2,FIXED,Stepping into already executed method brings up unknown source editor,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: Stepping into already executed method brings up unknown source editor
Resolution: FIXED"
6381,JDT,UI,normal,P2,FIXED,Cleanup Add/Replace Local History items in Package Viewer,"Product: JDT
Component: UI
Severity: normal
Priority: P2
Summary: Cleanup Add/Replace Local History items in Package Viewer
Resolution: FIXED"
315095,PDE,UI,normal,P3,FIXED,[doc] Missing degredation comment for SchemaTraversePerfTest#testSchemaTraverse(),"Product: PDE
Component: UI
Severity: normal
Priority: P3
Summary: [doc] Missing degredation comment for SchemaTraversePerfTest#testSchemaTraverse()
Resolution: FIXED"
218903,Platform,UI,enhancement,P3,FIXED,[Viewers] support extensibility of the refresh job in FilteredTree,"Product: Platform
Component: UI
Severity: enhancement
Priority: P3
Summary: [Viewers] support extensibility of the refresh job in FilteredTree
Resolution: FIXED"
25900,JDT,Text,critical,P1,FIXED,NPE in CompilationUnitEditor,"Product: JDT
Component: Text
Severity: critical
Priority: P1
Summary: NPE in CompilationUnitEditor
Resolution: FIXED"
55242,Platform,Ant,normal,P2,FIXED,NPE on shutting down Eclipse,"Product: Platform
Component: Ant
Severity: normal
Priority: P2
Summary: NPE on shutting down Eclipse
Resolution: FIXED"
400363,PDE,Build,normal,P3,FIXED,PDE Build test failures due to JUnit 3 removal,"Product: PDE
Component: Build
Severity: normal
Priority: P3
Summary: PDE Build test failures due to JUnit 3 removal
Resolution: FIXED"
137182,Platform,Text,normal,P2,FIXED,[hovering] Annotation hover always placed at same horizontal position,"Product: Platform
Component: Text
Severity: normal
Priority: P2
Summary: [hovering] Annotation hover always placed at same horizontal position
Resolution: FIXED"
46740,Platform,Ant,major,P3,FIXED,Loss of the separate output directories for org.eclipse.ant.ui,"Product: Platform
Component: Ant
Severity: major
Priority: P3
Summary: Loss of the separate output directories for org.eclipse.ant.ui
Resolution: FIXED"
175859,Platform,UI,enhancement,P3,FIXED,[DataBinding] Use MessageFormat for validation hints,"Product: Platform
Component: UI
Severity: enhancement
Priority: P3
Summary: [DataBinding] Use MessageFormat for validation hints
Resolution: FIXED"
1743,JDT,Debug,normal,P2,FIXED,Scrapbook should have accelerator for Display (1GKZ3BT),"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: Scrapbook should have accelerator for Display (1GKZ3BT)
Resolution: FIXED"
62356,Platform,Compare,normal,P3,FIXED,Use progress service when running compare input,"Product: Platform
Component: Compare
Severity: normal
Priority: P3
Summary: Use progress service when running compare input
Resolution: FIXED"
7309,Platform,Team,normal,P1,FIXED,Should be allowed to save patch directly into the file system,"Product: Platform
Component: Team
Severity: normal
Priority: P1
Summary: Should be allowed to save patch directly into the file system
Resolution: FIXED"
68142,Platform,Text,major,P2,FIXED,[implementation] IAE when reverting file,"Product: Platform
Component: Text
Severity: major
Priority: P2
Summary: [implementation] IAE when reverting file
Resolution: FIXED"
11405,JDT,Debug,normal,P2,FIXED,Launch Timeout,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: Launch Timeout
Resolution: FIXED"
23477,Platform,Debug,major,P2,FIXED,Most recent launch config lost after each restart,"Product: Platform
Component: Debug
Severity: major
Priority: P2
Summary: Most recent launch config lost after each restart
Resolution: FIXED"
395324,PDE,UI,normal,P3,FIXED,Do not add all EEs to ant properties to avoid 206 filename or extension is too long errors,"Product: PDE
Component: UI
Severity: normal
Priority: P3
Summary: Do not add all EEs to ant properties to avoid 206 filename or extension is too long errors
Resolution: FIXED"
58560,Platform,UI,major,P1,FIXED,[DetachedView] Detached view toolbars stop working,"Product: Platform
Component: UI
Severity: major
Priority: P1
Summary: [DetachedView] Detached view toolbars stop working
Resolution: FIXED"
4203,JDT,UI,normal,P3,FIXED,DCR: Javadoc code assist should offer better support for closing tags (1GKQ0IM),"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: DCR: Javadoc code assist should offer better support for closing tags (1GKQ0IM)
Resolution: FIXED"
196066,Platform,UI,trivial,P3,FIXED,Missing doc for new splash handling in 3.3,"Product: Platform
Component: UI
Severity: trivial
Priority: P3
Summary: Missing doc for new splash handling in 3.3
Resolution: FIXED"
6481,Platform,Debug,normal,P2,FIXED,Feature: Annotate launch with transaction id,"Product: Platform
Component: Debug
Severity: normal
Priority: P2
Summary: Feature: Annotate launch with transaction id
Resolution: FIXED"
415721,Platform,Search,major,P3,FIXED,[WorkbenchParts] Accessibility - Keyboard focus lost after search,"Product: Platform
Component: Search
Severity: major
Priority: P3
Summary: [WorkbenchParts] Accessibility - Keyboard focus lost after search
Resolution: FIXED"
23566,Platform,SWT,normal,P1,FIXED,Accessibility - toolbar not accessible by keyboard,"Product: Platform
Component: SWT
Severity: normal
Priority: P1
Summary: Accessibility - toolbar not accessible by keyboard
Resolution: FIXED"
270973,PDE,API Tools,enhancement,P3,FIXED,Allow 'include' lists to be used for our Ant tasks,"Product: PDE
Component: API Tools
Severity: enhancement
Priority: P3
Summary: Allow 'include' lists to be used for our Ant tasks
Resolution: FIXED"
58533,Platform,UI,major,P2,FIXED,Need to check for setSystem being set after schedule,"Product: Platform
Component: UI
Severity: major
Priority: P2
Summary: Need to check for setSystem being set after schedule
Resolution: FIXED"
135446,Platform,UI,minor,P3,FIXED,[DataBinding] Provide javadoc for TextObservableValue,"Product: Platform
Component: UI
Severity: minor
Priority: P3
Summary: [DataBinding] Provide javadoc for TextObservableValue
Resolution: FIXED"
11210,JDT,Core,normal,P2,FIXED,ResourceDeltas are lost when merging deltas,"Product: JDT
Component: Core
Severity: normal
Priority: P2
Summary: ResourceDeltas are lost when merging deltas
Resolution: FIXED"
41241,JDT,UI,enhancement,P2,FIXED,enhance 'move static' to handle member types [refactoring],"Product: JDT
Component: UI
Severity: enhancement
Priority: P2
Summary: enhance 'move static' to handle member types [refactoring]
Resolution: FIXED"
36870,Platform,Ant,normal,P2,FIXED,Separate the Ant UI from ExternalToolsUI,"Product: Platform
Component: Ant
Severity: normal
Priority: P2
Summary: Separate the Ant UI from ExternalToolsUI
Resolution: FIXED"
389647,Platform,User Assistance,normal,P3,FIXED,multiple broken links on the platform-ua site,"Product: Platform
Component: User Assistance
Severity: normal
Priority: P3
Summary: multiple broken links on the platform-ua site
Resolution: FIXED"
209943,JDT,Debug,normal,P3,FIXED,LaunchConfigurationQueryParticipant does not respect search scope,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: LaunchConfigurationQueryParticipant does not respect search scope
Resolution: FIXED"
136416,Platform,Debug,normal,P3,FIXED,Terminated threads appearing in debug view,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: Terminated threads appearing in debug view
Resolution: FIXED"
300771,PDE,UI,normal,P3,FIXED,Dead code in pde.ui,"Product: PDE
Component: UI
Severity: normal
Priority: P3
Summary: Dead code in pde.ui
Resolution: FIXED"
9285,JDT,Debug,normal,P3,FIXED,1GRKEIW:Debugger scrolls up and down when it is not needed,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: 1GRKEIW:Debugger scrolls up and down when it is not needed
Resolution: FIXED"
110243,Platform,UI,major,P1,FIXED,heap monitor causes errors during tests,"Product: Platform
Component: UI
Severity: major
Priority: P1
Summary: heap monitor causes errors during tests
Resolution: FIXED"
22458,JDT,Core,major,P2,FIXED,Refactoring a package does not move the package's directory,"Product: JDT
Component: Core
Severity: major
Priority: P2
Summary: Refactoring a package does not move the package's directory
Resolution: FIXED"
81612,JDT,UI,normal,P2,FIXED,Invalid thread access while refactoring,"Product: JDT
Component: UI
Severity: normal
Priority: P2
Summary: Invalid thread access while refactoring
Resolution: FIXED"
5339,JDT,Debug,normal,P3,FIXED,"""Not responding"" in stack trace after breakpoint encountered","Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: ""Not responding"" in stack trace after breakpoint encountered
Resolution: FIXED"
228264,Platform,Debug,normal,P3,FIXED,NPE when copying stack trace.,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: NPE when copying stack trace.
Resolution: FIXED"
137769,Platform,Debug,minor,P3,FIXED,[launching] Launch history is not updated/Run Last Launched fails due to working set filter,"Product: Platform
Component: Debug
Severity: minor
Priority: P3
Summary: [launching] Launch history is not updated/Run Last Launched fails due to working set filter
Resolution: FIXED"
104852,Platform,Debug,normal,P3,FIXED,Debug View  changes focus on removal of terminated launch forcing editor popup,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: Debug View  changes focus on removal of terminated launch forcing editor popup
Resolution: FIXED"
14060,Platform,Debug,normal,P1,FIXED,stepping slow - timer takes 99% of CPU,"Product: Platform
Component: Debug
Severity: normal
Priority: P1
Summary: stepping slow - timer takes 99% of CPU
Resolution: FIXED"
250056,JDT,Core,normal,P3,FIXED,"[compiler][null] Another assert and ""Redundant null check""","Product: JDT
Component: Core
Severity: normal
Priority: P3
Summary: [compiler][null] Another assert and ""Redundant null check""
Resolution: FIXED"
6414,JDT,UI,normal,P3,FIXED,inline temp not activated on a valid selection,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: inline temp not activated on a valid selection
Resolution: FIXED"
356108,PDE,Doc,normal,P3,FIXED,Update the screen shots for the API Tools errors / warnings page,"Product: PDE
Component: Doc
Severity: normal
Priority: P3
Summary: Update the screen shots for the API Tools errors / warnings page
Resolution: FIXED"
65356,Platform,Debug,normal,P3,FIXED,source lookup tab migration from 2.1 to 3.0,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: source lookup tab migration from 2.1 to 3.0
Resolution: FIXED"
65391,Platform,Ant,normal,P2,FIXED,No confirm before migration of external builder: 2.1.3 -> 3.0,"Product: Platform
Component: Ant
Severity: normal
Priority: P2
Summary: No confirm before migration of external builder: 2.1.3 -> 3.0
Resolution: FIXED"
32842,JDT,Debug,normal,P2,FIXED,Java Line Breakpoint - instance restriction problem,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: Java Line Breakpoint - instance restriction problem
Resolution: FIXED"
248054,Platform,Debug,normal,P3,FIXED,Can't set breakpoint annotation as Highlighted,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: Can't set breakpoint annotation as Highlighted
Resolution: FIXED"
448863,Platform,Search,normal,P3,FIXED,[Search] Refresh on Access ignored during text search,"Product: Platform
Component: Search
Severity: normal
Priority: P3
Summary: [Search] Refresh on Access ignored during text search
Resolution: FIXED"
19435,JDT,UI,normal,P2,FIXED,Artwork,"Product: JDT
Component: UI
Severity: normal
Priority: P2
Summary: Artwork
Resolution: FIXED"
140565,JDT,UI,normal,P3,FIXED,[clean up] 'change all acces through instances' + 'remove unused imports' leads to code with fatal errors,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: [clean up] 'change all acces through instances' + 'remove unused imports' leads to code with fatal errors
Resolution: FIXED"
54976,JDT,Debug,normal,P3,FIXED,VM fails to launch when specifying default VM arguments,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: VM fails to launch when specifying default VM arguments
Resolution: FIXED"
76511,Platform,UI,normal,P2,FIXED,[Progress] NPE creating hierarchy,"Product: Platform
Component: UI
Severity: normal
Priority: P2
Summary: [Progress] NPE creating hierarchy
Resolution: FIXED"
66688,Platform,Search,normal,P2,FIXED,Search dialog: 'Customize' button has wrong size,"Product: Platform
Component: Search
Severity: normal
Priority: P2
Summary: Search dialog: 'Customize' button has wrong size
Resolution: FIXED"
268986,Platform,UI,normal,P3,FIXED,Each ActionFactory should specify its commandId,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: Each ActionFactory should specify its commandId
Resolution: FIXED"
81674,Platform,UI,normal,P2,FIXED,[Progress] NPE in JobErrorDialog,"Product: Platform
Component: UI
Severity: normal
Priority: P2
Summary: [Progress] NPE in JobErrorDialog
Resolution: FIXED"
178246,JDT,Debug,normal,P3,FIXED,inspect/all instances popup should expand first element,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: inspect/all instances popup should expand first element
Resolution: FIXED"
14143,Platform,Debug,normal,P1,FIXED,"Breakpoints View appears with ""Go to file"" button enabled regardless of breakpoints","Product: Platform
Component: Debug
Severity: normal
Priority: P1
Summary: Breakpoints View appears with ""Go to file"" button enabled regardless of breakpoints
Resolution: FIXED"
31293,JDT,UI,minor,P2,FIXED,substandard language in source actions if file is read-only,"Product: JDT
Component: UI
Severity: minor
Priority: P2
Summary: substandard language in source actions if file is read-only
Resolution: FIXED"
85103,Platform,UI,major,P2,FIXED,[Preferences] Poor colour choice for preference page titles,"Product: Platform
Component: UI
Severity: major
Priority: P2
Summary: [Preferences] Poor colour choice for preference page titles
Resolution: FIXED"
100068,JDT,Debug,normal,P3,FIXED,CCE exception from class prepare breakpoint,"Product: JDT
Component: Debug
Severity: normal
Priority: P3
Summary: CCE exception from class prepare breakpoint
Resolution: FIXED"
151838,Platform,UI,normal,P2,FIXED,[Markers] ArrayIndexOutOfBoundsException while queuing viewer updates,"Product: Platform
Component: UI
Severity: normal
Priority: P2
Summary: [Markers] ArrayIndexOutOfBoundsException while queuing viewer updates
Resolution: FIXED"
308636,Platform,Debug,normal,P3,FIXED,Translation Question - WSW36#078,"Product: Platform
Component: Debug
Severity: normal
Priority: P3
Summary: Translation Question - WSW36#078
Resolution: FIXED"
175418,Platform,UI,normal,P3,FIXED,[DataBinding] TreePath moved to internal package,"Product: Platform
Component: UI
Severity: normal
Priority: P3
Summary: [DataBinding] TreePath moved to internal package
Resolution: FIXED"
255932,JDT,UI,enhancement,P2,FIXED,[api] Make RefactoringSaveHelper API,"Product: JDT
Component: UI
Severity: enhancement
Priority: P2
Summary: [api] Make RefactoringSaveHelper API
Resolution: FIXED"
120629,JDT,UI,normal,P3,FIXED,No provider name for org.eclipse.jdt.core.manipulation plug-in,"Product: JDT
Component: UI
Severity: normal
Priority: P3
Summary: No provider name for org.eclipse.jdt.core.manipulation plug-in
Resolution: FIXED"
148965,JDT,Debug,normal,P2,FIXED,Performance problem in detail pane when there is a lot of plugins.,"Product: JDT
Component: Debug
Severity: normal
Priority: P2
Summary: Performance problem in detail pane when there is a lot of plugins.
Resolution: FIXED"
87400,Platform,UI,major,P2,FIXED,Unable to open synchronize view context menu,"Product: Platform
Component: UI
Severity: major
Priority: P2
Summary: Unable to open synchronize view context menu
Resolution: FIXED"
481792,PDE,Build,normal,P3,FIXED,PDE feature does not require JDT feature,"Product: PDE
Component: Build
Severity: normal
Priority: P3
Summary: PDE feature does not require JDT feature
Resolution: FIXED"
33897,Platform,UI,enhancement,P2,FIXED,[Import/Export] Export to .tar.gz or .tar.bz2,"Product: Platform
Component: UI
Severity: enhancement
Priority: P2
Summary: [Import/Export] Export to .tar.gz or .tar.bz2
Resolution: FIXED"
